cmd_vx,cmd_vy,cmd_wz,code,detail,elapsed_s,f1,f2,f3,family,kind,low_code,result,size,t,type,value
,,,0x11050F02,,16.453,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:01.438,1,12
,,,0x11050F03,,16.952,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:13:01.739,1,12
,,,0x11050F01,,17.253,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:13:01.739,0,77
,,,0x11050F02,,17.253,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:01.940,1,12
,,,0x11050F02,,17.954,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:02.501,1,12
,,,0x11050F03,,18.015,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:13:02.539,1,12
,,,0x11050F01,,18.053,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:13:02.539,0,77
,,,0x11050F02,,18.053,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:02.938,1,12
,,,0x11050906,,18.452,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:13:02.939,0,1
,,,0x11050F03,,18.452,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:13:03.426,1,12
,,,0x11050F01,,18.94,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:13:03.426,0,77
,,,0x11050F02,,18.94,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:03.438,1,12
,,,0x11050F02,,18.952,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:03.939,1,12
,,,0x11050F03,,19.453,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:13:04.139,1,12
,,,0x11050F01,,19.653,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:13:04.139,0,77
,,,0x11050F02,,19.653,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:04.439,1,12
,,,0x11050F03,,19.953,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:13:04.939,1,12
